Cusip,State,Description,Coupon,Maturity Date,Next Call Date,Moody's Rating,S&P Rating,Price Bid,Price Ask,Yield Bid,Ask Yield to Worst,Ask Yield to Maturity,Quantity Bid(min),Quantity Ask(min),Attributes
="037833EB2","N/A","APPLE INC           NOTE CALL MAKE WHOLE0.70000% 02/08/2026","0.700","02/08/2026","01/08/2026","AAA","AA+","92.413","92.500","2.992","2.965","2.965","100(2)","500(2)",IE SFP D 
="459058JS3","N/A","INTERNATIONAL BK FORRECON&DEV BOND      0.65000% 02/10/2026","0.650","02/10/2026","N/A","AAA","AAA","89.857","91.133","3.756","3.344","3.344","500(10)","29(10)",SFP D 
="10373QBE9","N/A","BP CAP MKTS AMER INCNOTE CALL MAKE WHOLE3.41000% 02/11/2026","3.410","02/11/2026","12/11/2025","A2","A-","100.379","100.500","3.290","3.252","3.258","250(5)","1,778(1)",IE SFP D 
="25468PDK9","N/A","DISNEY WALT CO      MTN CALL MAKE WHOLE 3.00000% 02/13/2026","3.000","02/13/2026","N/A","A2","BBB+","99.084","99.313","3.277","3.208","3.208","100(5)","22(10)",IE SFP D 
="808513AM7","N/A","SCHWAB CHARLES CORP NOTE CALL MAKE WHOLE3.45000% 02/13/2026","3.450","02/13/2026","11/13/2025","A2","A","100.711","100.909","3.220","3.156","3.175","250(5)","12(2)",IE SFP D 
="02209SBC6","N/A","ALTRIA GROUP INC    NOTE CALL MAKE WHOLE4.40000% 02/14/2026","4.400","02/14/2026","12/14/2025","A3","BBB","101.240","101.346","4.003","3.969","3.987","500(2)","27(27)",IE SFP D 
="122014AJ2","N/A","BURLINGTON RES INC  BOND                6.87500% 02/15/2026","6.875","02/15/2026","N/A","A3","A-","109.012","112.118","4.106","3.216","3.216","500(5)","216(10)",IE SFP D 
="36158FAA8","N/A","GE GLOBAL INS HLDG  CORP NOTE           7.00000% 02/15/2026","7.000","02/15/2026","--","A2","A","110.760","112.385"," 3.719","3.258","3.258","150(5)","132(5)",IE CP SFP D 
="494368BU6","N/A","KIMBERLY-CLARK CORP NOTE CALL MAKE WHOLE2.75000% 02/15/2026","2.750","02/15/2026","N/A","A2","A","98.651","99.160","3.157","3.002","3.002","151(5)","5(5)",IE SFP D 
="63743FQL3","N/A","NATIONAL RURAL UTILSCOOP FIN MTN        3.00000% 02/15/2026","3.000","02/15/2026","--","A2","A-","96.257","98.482","4.141","3.457","3.457","50(1)","16(1)",IE CP SFP D SO 
="718546AZ7","N/A","PHILLIPS 66         NOTE CALL MAKE WHOLE1.30000% 02/15/2026","1.300","02/15/2026","01/15/2026","A3","BBB+","91.964","92.240","3.751","3.663","3.663","10(2)","200(5)",IE SFP D 
="74460WAA5","N/A","PUBLIC STORAGE      NOTE CALL MAKE WHOLE0.87500% 02/15/2026","0.875","02/15/2026","01/15/2026","A2","A","91.885","92.015","3.330","3.289","3.289","1,000(2)","250(10)",IE SFP D 
="872287AF4","N/A","TELE COMMUNICATIONS INC NEW BOND        7.87500% 02/15/2026","7.875","02/15/2026","N/A","A3","A-","113.509","113.812","3.753","3.668","3.668","250(5)","1,000(1)",IE SFP D 
="867914AH6","N/A","TRUIST FINL CORP    NOTE                6.00000% 02/15/2026","6.000","02/15/2026","--","A3","BBB+","107.507","107.584","3.711","3.689","3.689","225(20)","1(1)",IE CP SFP D 
="902133AT4","N/A","TYCO ELECTRONICS    GROUP S A NOTE      3.70000% 02/15/2026 CALL MAKE WHOLE","3.700","02/15/2026","11/15/2025","A3","A-","100.434","100.747","3.560","3.458","3.473","150(15)","500(2)",IE SFP D 
="17401QAU5","N/A","CITIZENS BANK NA NY MTN CALL MAKE WHOLE 3.75000% 02/18/2026","3.750","02/18/2026","11/18/2025","BAA1","A-","99.662","99.971","3.853","3.758","3.758","250(250)","1,000(250)",IE SFP D 
="459200JG7","N/A","INTERNATIONAL       BUSINESS MACHS NOTE 3.45000% 02/19/2026 CALL MAKE WHOLE","3.450","02/19/2026","N/A","A3","A-","100.495","100.638","3.300","3.257","3.257","100(100)","500(100)",IE SFP D 
="037833BY5","N/A","APPLE INC           NOTE CALL MAKE WHOLE3.25000% 02/23/2026","3.250","02/23/2026","11/23/2025","AAA","AA+","100.885","100.926","2.967","2.954","2.973","100(10)","50(10)",IE SFP D 
="58933YAY1","N/A","MERCK &CO INC       NOTE CALL MAKE WHOLE0.75000% 02/24/2026","0.750","02/24/2026","01/24/2026","A1","A+","92.724","92.825","2.919","2.888","2.888","250(5)","500(2)",IE SFP D 
="713448DF2","N/A","PEPSICO INC         NOTE CALL MAKE WHOLE2.85000% 02/24/2026","2.850","02/24/2026","11/24/2025","A1","A+","99.838","99.907","2.898","2.877","2.877","300(10)","24(2)",IE SFP D 
="125523BZ2","N/A","CIGNA CORP NEW      SER C NOTE          4.50000% 02/25/2026 CALL MAKE WHOLE","4.500","02/25/2026","11/27/2025","BAA1","A-","103.001","103.040","3.533","3.521","3.582","100(10)","500(10)",IE SFP D 
="30219GAM0","N/A","EXPRESS SCRIPTS HLDGCO NOTE             4.50000% 02/25/2026 CALL MAKE WHOLE","4.500","02/25/2026","11/27/2025","WR","A-","102.333","103.511","3.746","3.372","3.443","250(5)","19(5)",IE SFP D 
="38143U8H7","N/A","GOLDMAN SACHS GROUP INC NOTE            3.75000% 02/25/2026","3.750","02/25/2026","11/25/2025","A2","BBB+","100.101","100.300","3.718","3.654","3.659","250(2)","400(20)",IE SFP D 
="718172BT5","N/A","PHILIP MORRIS INTL  INC NOTE            2.75000% 02/25/2026 CALL MAKE WHOLE","2.750","02/25/2026","11/25/2025","A2","A","96.814","96.915","3.714","3.683","3.683","500(2)","500(10)",IE SFP D 
="17275RBC5","N/A","CISCO SYS INC       NOTE CALL MAKE WHOLE2.95000% 02/28/2026","2.950","02/28/2026","N/A","A1","AA-","100.081","100.285","2.926","2.865","2.865","100(10)","1,086(2)",IE SFP D 
="055450AH3","N/A","BHP BILLITON FINANCE(USA) LTD BOND      6.42000% 03/01/2026","6.420","03/01/2026","N/A","A2","A-","109.854","110.737","3.465","3.216","3.216","25(5)","250(1)",IE SFP D 
="136375CJ9","N/A","CANADIAN NATL RY CO NOTE CALL MAKE WHOLE2.75000% 03/01/2026","2.750","03/01/2026","12/01/2025","A2","A","97.579","97.784","3.476","3.413","3.413","100(10)","18(18)",IE SFP D 
="126117AT7","N/A","CNA FINL CORP       NOTE CALL MAKE WHOLE4.50000% 03/01/2026","4.500","03/01/2026","12/01/2025","BAA2","A-","101.830","102.304","3.908","3.757","3.804","250(10)","50(15)",IE SFP D 
="20030NBS9","N/A","COMCAST CORP NEW    NOTE CALL MAKE WHOLE3.15000% 03/01/2026","3.150","03/01/2026","12/01/2025","A3","A-","99.482","99.675","3.304","3.247","3.247","16(2)","500(2)",IE SFP D 
="30231GAT9","N/A","EXXON MOBIL CORP    NOTE CALL MAKE WHOLE3.04300% 03/01/2026","3.043","03/01/2026","12/01/2025","AA2","AA-","99.973","100.038","3.051","3.031","3.031","250(5)","8(8)",IE SFP D 
="375558BF9","N/A","GILEAD SCIENCES INC NOTE CALL MAKE WHOLE3.65000% 03/01/2026","3.650","03/01/2026","12/01/2025","A3","BBB+","100.650","100.678","3.442","3.433","3.446","500(5)","250(2)",IE SFP D 
="478160BY9","N/A","JOHNSON &JOHNSON    NOTE CALL MAKE WHOLE2.45000% 03/01/2026","2.450","03/01/2026","12/01/2025","AAA","AAA","98.982","99.047","2.751","2.731","2.731","50(15)","517(10)",IE SFP D 
="606822AD6","N/A","MITSUBISHI UFJ      FINANCIAL GROUP NOTE3.85000% 03/01/2026","3.850","03/01/2026","N/A","A1","A-","99.191","99.742","4.095","3.927","3.927","500(200)","200(200)",IE SFP 
="854502AK7","N/A","STANLEY BLACK &DECKER INC NOTE    3.40000% 03/01/2026 CALL MAKE WHOLE","3.400","03/01/2026","01/01/2026","BAA1","A","99.992","100.302","3.402","3.306","3.309","250(10)","500(10)",IE SFP D 
="907818EH7","N/A","UNION PAC CORP      NOTE CALL MAKE WHOLE2.75000% 03/01/2026","2.750","03/01/2026","12/01/2025","A3","A-","98.302","98.465","3.257","3.207","3.207","140(15)","200(5)",IE SFP D 
="0641593U8","N/A","BANK NOVA SCOTIA B CNOTE CALL MAKE WHOLE1.05000% 03/02/2026","1.050","03/02/2026","N/A","A2","A-","91.226","91.339","3.690","3.654","3.654","250(2)","7(7)",IE SFP D 
="14913R2K2","N/A","CATERPILLAR FINL    SVCS S BE MTN       0.90000% 03/02/2026 CALL MAKE WHOLE","0.900","03/02/2026","N/A","A2","A","92.732","92.901","3.060","3.008","3.008","2(1)","200(10)",IE SFP D 
="404280AW9","N/A","HSBC HLDGS PLC      NOTE                4.30000% 03/08/2026","4.300","03/08/2026","N/A","A3","A-","100.784","100.875","4.062","4.035","4.035","400(200)","500(200)",IE SFP D 
="86562MAC4","N/A","SUMITOMO MITSUI FIN GRP INC NOTE        3.78400% 03/09/2026","3.784","03/09/2026","N/A","A1","A-","99.400","99.806","3.964","3.841","3.841","500(2)","100(10)",IE SFP D 
="74432QCH6","N/A","PRUDENTIAL FINL INC SER E MTN           1.50000% 03/10/2026 CALL MAKE WHOLE","1.500","03/10/2026","02/10/2026","A3","A","93.492","93.666","3.437","3.383","3.383","390(1)","10( 10)",IE SFP D 
="808513BF1","N/A","SCHWAB CHARLES CORP NOTE CALL MAKE WHOLE0.90000% 03/11/2026","0.900","03/11/2026","02/11/2026","A2","A","92.019","92.108","3.266","3.238","3.238","100(10)","62(10)",IE SFP D 
="571748AZ5","N/A","MARSH &MCLENNAN COS INC NOTE            3.75000% 03/14/2026 CALL MAKE WHOLE","3.750","03/14/2026","12/14/2025","BAA1","A-","100.980","101.373","3.439","3.315","3.342","100(10)","14(2)",IE SFP D 
="001055BK7","N/A","AFLAC INC           NOTE CALL MAKE WHOLE1.12500% 03/15/2026","1.125","03/15/2026","02/15/2026","A3","A-","91.676","92.179","3.602","3.445","3.445","250(5)","100(10)",IE SFP D 
="084670BS6","N/A","BERKSHIRE HATHAWAY  INC DEL NOTE        3.12500% 03/15/2026 CALL MAKE WHOLE","3.125","03/15/2026","12/15/2025","AA2","AA","100.372","100.535","3.008","2.957","2.967","250(5)","41(10)",IE SFP D 
="125523CP3","N/A","CIGNA CORP NEW      NOTE CALL MAKE WHOLE1.25000% 03/15/2026","1.250","03/15/2026","02/15/2026","BAA1","A-","92.439","92.475","3.495","3.484","3.484","500(2)","2,000(10)",IE SFP D 
="036752AR4","N/A","ELEVANCE HEALTH INC NOTE CALL MAKE WHOLE1.50000% 03/15/2026","1.500","03/15/2026","02/15/2026","BAA2","A","93.332","93.540","3.479","3.415","3.415","500(10)","500(10)",IE SFP D 
="512807AS7","N/A","LAM RESEARCH CORP   NOTE CALL MAKE WHOLE3.75000% 03/15/2026","3.750","03/15/2026","01/15/2026","A2","A-","101.907","102.100","3.162","3.103","3.130","50(15)","2(2)",IE SFP D 
="524901AV7","N/A","LEGG MASON INC      NOTE CALL MAKE WHOLE4.75000% 03/15/2026","4.750","03/15/2026","N/A","A2","A","103.247","103.420","3.779","3.729","3.729","100(10)","52(10)",IE SFP D 
="693506BU0","N/A","PPG INDS INC        NOTE CALL MAKE WHOLE1.20000% 03/15/2026","1.200","03/15/2026","02/15/2026","A3","BBB+","91.379","91.636","3.774","3.693","3.693","53(2)","500(10)",IE SFP D 
="74456QCF1","N/A","PUBLIC SVC ELEC &GASCO SER N MTN        0.95000% 03/15/2026 CALL MAKE WHOLE","0.950","03/15/2026","02/15/2026","A1","A","92.026","92.844","3.309","3.056","3.056","100(10)","10(10)",IE SFP D 
="756109AZ7","N/A","REALTY INCOME CORP  NOTE CALL MAKE WHOLE0.75000% 03/15/2026","0.750","03/15/2026","02/15/2026","A3","A-","89.696","90.074","3.830","3.710","3.710","326(2)","250(10)",IE SFP D 
="845437BS0","N/A","SOUTHWESTERN ELEC   PWR CO SER N NOTE   1.65000% 03/15/2026 CALL MAKE WHOLE","1.650","03/15/2026","02/15/2026","BAA2","A-","92.590","92.914","3.866","3.765","3.765","250(10)","95(2)",IE SFP D 
="91324PCV2","N/A","UNITEDHEALTH GROUP  INC NOTE            3.10000% 03/15/2026 CALL MAKE WHOLE","3.100","03/15/2026","N/A","A3","A+","99.899","99.975","3.129","3.107","3.107","200(10)","500(2)",IE SFP D 
="46513CXR2","N/A","ISRAEL(STATE OF)    NOTE                2.87500% 03/16/2026 ISIN #US46513CXR23  SEDOL #BDCN342","2.875","03/16/2026","--","A1","AA-","98.612","100.929","3.285","2.604","2.604","1,000(200)","1,000(200)",IE CP SFP D 
="25160PAF4","N/A","DEUTSCHE BK AG N Y  NOTE                1.68600% 03/19/2026","1.686","03/19/2026","--","A2","A-","91.648","92.157","4.193","4.033","4.033","250(150)","150(150)",IE CP SFP D 
="13605W2C4","N/A","CANADIAN IMPERIAL BKCOMM TORO MTN       1.10000% 03/23/2026","1.100","03/23/2026","03/23/2023","A2","A-","85.073","92.072","5.703","3.438","3.438","15(1)","178(10)",IE SFP D 
="05964HAL9","N/A","BANCO SANTANDER S.A.SER 106 NOTE        1.84900% 03/25/2026","1.849","03/25/2026","N/A","BAA1","A-","90.691","91.297","4.657","4.464","4.464","200(200)","250(200)",IE SFP D 
="892331AM1","N/A","TOYOTA MOTOR CORP   NOTE CALL MAKE WHOLE1.33900% 03/25/2026","1.339","03/25/2026","02/25/2026","A1","A+","93.490","93.530","3.249","3.236","3.236","500(10)","250(5)",IE SFP D 
="29364DAU4","N/A","ENTERGY ARKANSAS LLCBOND CALL MAKE WHOLE3.50000% 04/01/2026","3.500","04/01/2026","01/01/2026","A2","A","100.265","100.392","3.417","3.377","3.384","50(15)","608(1)",IE SFP D 
="437076BM3","N/A","HOME DEPOT INC      NOTE CALL MAKE WHOLE3.00000% 04/01/2026","3.000","04/01/2026","01/01/2026","A2","A","99.655","99.789","3.100","3.061","3.061","500(10)","762(10)",IE SFP D 
="46625HQW3","N/A","JPMORGAN CHASE &CO  NOTE                3.30000% 04/01/2026","3.300","04/01/2026","01/01/2026","A2","A-","99.319","99.487","3.499","3.450","3.450","250(10)","10(10)",IE SFP D 
="540424AS7","N/A","LOEWS CORP          NOTE CALL MAKE WHOLE3.75000% 04/01/2026","3.750","04/01/2026","01/01/2026","A3","A","100.698","101.340","3.531","3.331","3.357","50(10)","100(10)",IE SFP D 
="731011AU6","N/A","POLAND(REPUBLIC OF) NOTE                3.25000% 04/06/2026 ISIN #US731011AU68  SEDOL #BYZWM02","3.250","04/06/2026","--","A2","A-","99.510","100.180","3.392","3.197","3.197","42(1)","975(25)",IE CP SFP D 
="046353AV0","N/A","ASTRAZENECA PLC     NOTE CALL MAKE WHOLE0.70000% 04/08/2026","0.700","04/08/2026","03/08/2026","A3","A-","91.122","91.175","3.282","3.266","3.266","250(5)","500(2)",IE SFP D 
="056752AS7","N/A","BAIDU INC           NOTE CALL MAKE WHOLE1.72000% 04/09/2026","1.720","04/09/2026","03/09/2026","A3","--","91.656","92.594","4.189","3.899","3.899","200(200)","210(200)",IE SFP D 
="045167FC2","N/A","ASIAN DEVELOPMENT   BANK ADB MTN        1.00000% 04/14/2026","1.000","04/14/2026","--","AAA","AAA","92.992","93.531","3.019","2.857","2.857","1,000(50)","1,000(50)",CP SFP D 
="778296AF0","N/A","ROSS STORES INC     NOTE CALL MAKE WHOLE0.87500% 04/15/2026","0.875","04/15/2026","03/15/2026","A2","BBB+","90.499","90.747","3.645","3.568","3.568","100(10)","250(10)",IE SFP D 
="87612EBE5","N/A","TARGET CORP         NOTE CALL MAKE WHOLE2.50000% 04/15/2026","2.500","04/15/2026","N/A","A2","A","98.388","98.539","2.963","2.919","2.919","50(15)","500(10)",IE SFP D 
="893939AE8","N/A","TRAVELERS PPTY CAS  CORP NOTE           7.75000% 04/15/2026","7.750","04/15/2026","--","A2","A","114.360","116.062","3.567","3.115","3.115","500(5)","10(5)",IE CP SFP D 
="06368EJF0","N/A","BANK OF MONTREAL    SER F MTN           1.30000% 04/20/2026","1.300","04/20/2026","10/20/2022","A2","--","84.432","90.600","6.045","4.053","4.053","150(20)","1,391(15)",SFP D 
="4581X0DV7","N/A","INTER-AMERICAN DEV  BK MTN              0.87500% 04/20/2026","0.875","04/20/2026","--","AAA","AAA","92.448","93.035","3.042","2.867","2.867","2,000(50)","2,000(50)",CP SFP 
="748149AJ0","N/A","PROVINCE OF QUEBEC  SER QP NOTE         2.50000% 04/20/2026","2.500","04/20/2026","N/A","AA2","AA-","97.517","98.266","3.214","2.997","2.997","870(25)","870(25)",SFP D 
="949746RW3","N/A","WELLS FARGO &CO     NOTE                3.00000% 04/22/2026","3.000","04/22/2026","N/A","A1","BBB+","97.167","97.333","3.824","3.775","3.775","250(10)","400(20)",IE SFP D 
="742718FP9","N/A","PROCTER &GAMBLE CO  NOTE CALL MAKE WHOLE1.00000% 04/23/2026","1.000","04/23/2026","N/A","AA3","AA-","93.828","93.926","2.757","2.728","2.728","250(10)","84(10)",IE SFP D 
="500630DE5","N/A","KOREA DEV BK        NOTE                0.80000% 04/27/2026","0.800","04/27/2026","--","AA2","AA","89.361","91.901","3.891","3.116","3.116","200(200)","200(200)",CP SFP 
="68323ADP6","N/A","ONTARIO(PROVINCE OF)NOTE                2.50000% 04/27/2026 ISIN #US68323ADP66  SEDOL #BD6SMT1","2.500","04/27/2026","N/A","AA3","A+","97.360","98.300","3.257","2.984","2.984","1,000(25)","1,000(25)",SFP D 
="78016EZQ3","N/A","ROYAL BANK OF CANADAMTN                 1.20000% 04/27/2026 ISIN #US78016EZQ33","1.200","04/27/2026","N/A","A1","A","91.554","91.766","3.641","3.577","3.577","500(2)","300(20)",IE SFP D 
="91159HHM5","N/A","US BANCORP          MTN                 3.10000% 04/27/2026","3.100","04/27/2026","03/27/2026","A2","A","98.350","98.557","3.575","3.515","3.515","500(1)","500(1)",IE SFP D 
="172967KN0","N/A","CITIGROUP INC       NOTE                3.40000% 05/01/2026","3.400","05/01/2026","N/A","A3","BBB+","98.851","98.953","3.731","3.701","3.701","250(10)","50(1)",IE SFP D 
="718172CR8","N/A","PHILIP MORRIS INTL  INC NOTE            0.87500% 05/01/2026 CALL MAKE WHOLE","0.875","05/01/2026","04/01/2026","A2","A","89.633","89.871","3.878","3.805","3.805","264(2)","2(2)",IE SFP D 
="826418BM6","N/A","SIERRA PAC PWR CO   SER V NOTE          2.60000% 05/01/2026 CALL MAKE WHOLE","2.600","05/01/2026","02/01/2026","A2","A+","96.687","97.147","3.553","3.418","3.418","100(5)","100(5)",IE SFP D 
="00440EAV9","N/A","CHUBB INA HLDGS INC NOTE CALL MAKE WHOLE3.35000% 05/03/2026","3.350","05/03/2026","02/03/2026","A3","A","100.070","100.375","3.329","3.236","3.242","100(10)","250(10)",IE SFP D 
="06406FAC7","N/A","BANK NEW YORK MELLONCORP SER SERIES I   2.80000% 05/04/2026 MTN CALL MAKE WHOLE","2.800","05/04/2026","02/04/2026","A1","A","98.131","98.467","3.334","3.237","3.237","250(1)","6(1)",IE SFP D 
="10373QAT7","N/A","BP CAP MKTS AMER INCSER B NOTE          3.11900% 05/04/2026 CALL MAKE WHOLE","3.119","05/04/2026","02/04/2026","A2","A-","99.069","99.309","3.385","3.316","3.316","250(5)","1,500(10)",IE SFP D 
="822582BT8","N/A","SHELL INTERNATIONAL FIN BV NOTE         2.87500% 05/10/2026 CALL MAKE WHOLE","2.875","05/10/2026","N/A","AA2","A+","98.552","98.681","3.286","3.249","3.249","500(1)","14(14)",IE SFP D 
="05348EAX7","N/A","AVALONBAY CMNTYS INCMTN CALL MAKE WHOLE 2.95000% 05/11/2026","2.950","05/11/2026","02/11/2026","A3","A-","96.980","97.359","3.817","3.706","3.706","250(5)","250(5)",IE SFP D 
="69371RR32","N/A","PACCAR FINANCIAL    CORP SER P MTN      1.10000% 05/11/2026","1.100","05/11/2026","--","A1","A+","92.362","92.737","3.270","3.159","3.159","250(10)","22(1)",IE CP SFP D 
="023135BX3","N/A","AMAZON COM INC      NOTE CALL MAKE WHOLE1.00000% 05/12/2026","1.000","05/12/2026","04/12/2026","A1","AA","92.942","93.022","2.992","2.969","2.969","100(2)","5(5)",IE SFP D 
="808513BR5","N/A","SCHWAB CHARLES CORP NOTE CALL MAKE WHOLE1.15000% 05/13/2026","1.150","05/13/2026","04/13/2026","A2","A","92.128","92.593","3.389","3.251","3.251","250(10)","250(10)",IE SFP D 
="961214CX9","N/A","WESTPAC BANKING     CORPORATION NOTE    2.85000% 05/13/2026","2.850","05/13/2026","N/A","AA3","AA-","97.704","98.069","3.504","3.399","3.399","184(2)","275(2)",IE SFP D 
="459200JZ5","N/A","INTERNATIONAL BUSINESS MACHS NOTE 3.30000% 05/15/2026 CALL MAKE WHOLE","3.300","05/15/2026","N/A","A3","A-","99.631","99.737","3.404","3.374","3.374","100(100)","500(100)",IE SFP D 
="63743FRH1","N/A","NATIONAL RURAL UTILSCOOP FIN MTN        3.00000% 05/15/2026","3.000","05/15/2026","--","A2","A-","97.402","97.834","3.738","3.614","3.614","100(5)","10(10)",IE CP SFP D SO 
="63743FRK4","N/A","NATIONAL RURAL UTILSCOOP FIN MTN        3.00000% 05/15/2026","3.000","05/15/2026","--","A2","A-","96.285","98.520","4.062","3.418","3.418","100(5)","25(5)",IE CP SFP D SO 
="63743FTJ5","N/A","NATIONAL RURAL UTILSCOOP FIN MTN        3.50000% 05/15/2026","3.500","05/15/2026","--","A2","A-","98.349","100.168","3.971","3.453","3.453","50(1)","1(1)",IE CP SFP D SO 
="797440BU7","N/A","SAN DIEGO GAS &ELEC CO SER QQQ BOND     2.50000% 05/15/2026 CALL MAKE WHOLE","2.500","05/15/2026","02/15/2026","A1","A","96.383","96.530","3.530","3.487","3.487","488(1)","250(5)",IE SFP D 
